CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,CH55,CH56,CH57,CH58,CH59,CH60,CH61,CH62,CH63,CH64,Humidity,Temp
104234368,4888340.5,6979.6,6978.9,6981.1,5440.5,5439.9,5444.6,13866.7,13865.4,13866.4,6180.9,6179.6,6183.4,406.2,407.3,9070.3,8677.6,5440.6,5442.6,5440.6,57653.3,57632.6,57649,7891.3,7889.2,7889.6,4658.8,4656.7,4664.3,1897.9,1890.7,1916.5,859.9,2297.9,2292.6,2293.7,1217.8,1216.8,1218.5,3349.4,3345.2,3346,6737.7,6738.1,6741.2,3613.8,3611.5,176.7,167,8186.4,8188.5,8191.3,3252.5,3254.3,3256.1,4123.1,4122.9,4124.3,14975.8,14978.8,14966.7,167,167,38.57,26.27
102895912,4799659.5,6970.4,6970,6971.6,5433.3,5435.6,5437.7,13860.1,13858.5,13860.6,6176.2,6175.4,6178.8,406.2,407.3,9070.2,8678.1,5437,5439.2,5437.4,57649.5,57657.8,57645.2,7880.1,7878.3,7876.5,4654.5,4652.7,4659.5,1897.8,1890.7,1916.5,859.9,2298.1,2292.8,2293.7,1217.4,1216.6,1218.1,3346.6,3342.8,3343.4,6731.5,6731.3,6733.9,3614.2,3609.1,176.7,167,8185.9,8188,8188.1,3254,3254.9,3256.8,4125,4122.5,4124.6,14962,14970,14972.6,167,167,38.630001,26.27
106979384,4800762,6969.3,6968.6,6970.6,5433.8,5433.4,5438.1,13858.9,13860,13858.9,6176.5,6175.4,6179.1,406.2,407.3,9070.6,8677.9,5436.7,5439,5437.8,57652.9,57648.6,57654.4,7874.8,7873.9,7874.6,4653.2,4651.4,4659.1,1897.9,1890.8,1916.5,860,2297.7,2292.5,2293.5,1217.6,1216.6,1218.2,3346.4,3343,3343.9,6730.7,6729.4,6732.6,3613.7,3611.6,176.7,167,8187,8187.1,8191.4,3252.3,3253.7,3255.4,4121.1,4121,4124.4,14963.2,14968.5,14974.6,167,167,39.650002,26.290001
113167592,4911035.5,6970.4,6969.1,6971,5433.7,5432.3,5436.8,13857.5,13857.7,13859.1,6176,6175.2,6178.7,406.2,407.3,9070.3,8677.7,5437.3,5439.6,5438.1,57631.5,57627.1,57641.3,7877.1,7875.9,7876,4654.2,4652,4660.1,1897.9,1890.7,1916.5,859.9,2297.7,2292.2,2292.9,1217.5,1216.5,1218.1,3347.1,3343.6,3344.2,6731.7,6730.7,6733.9,3613.6,3611.6,176.7,167,8186.7,8192.1,8193.9,3252.8,3253.9,3256,4120.5,4118.8,4123.5,14963.3,14976.7,14970.5,167,167,40.240002,26.290001
104775792,4887034,6966,6964.1,6965.3,5429.7,5429,5433.8,13852.9,13852.3,13854.1,6174.3,6172.8,6176.8,406.2,407.3,9069.5,8677.7,5438.2,5440.6,5438.9,57647.1,57644.8,57652.4,7883,7882.3,7881.3,4655.7,4653.7,4661.7,1897.9,1890.7,1916.5,859.9,2297.1,2292.3,2292.9,1217.6,1216.5,1218.2,3347.9,3344.1,3344.6,6731.9,6730.9,6734.6,3609.7,3608.1,176.7,167,8188.2,8189.7,8192.6,3251.6,3253.3,3256.4,4120.1,4121.8,4122.1,14965.9,14965.9,14967.3,167,167,40.119999,26.290001
109277648,4965185,6971.5,6970.8,6972.3,5438.3,5435.3,5438.3,13857.8,13857.9,13858.8,6176.1,6175,6178.8,406.2,407.3,9069.6,8677.8,5437.1,5439.5,5438.4,57625.9,57625.9,57634.8,7881.7,7880.2,7879.2,4655.3,4653.2,4660.6,1897.9,1890.8,1916.3,859.9,2297.6,2292.2,2293.2,1217.3,1216.4,1218.2,3346.5,3342.9,3343.6,6729.6,6728,6731.9,3611.1,3608.1,176.7,167,8178.4,8177.8,8187.2,3251.6,3251.8,3254.4,4120.1,4121.2,4123.5,14949.9,14962.3,14964.6,167,167,39.57,26.290001
116969264,4672455,6964.9,6963.4,6965.1,5431.1,5429.4,5434.5,13852.2,13850.8,13850.5,6172.1,6171,6173.9,406.2,407.3,9070.2,8678.6,5434.6,5437,5435.3,57647.3,57636.1,57643.8,7869.5,7867.3,7867.1,4650.8,4648.8,4655.5,1898.1,1890.9,1916.5,860,2297.4,2292.1,2292.9,1217,1216.1,1217.7,3344.1,3340.3,3340.9,6723,6721,6724.6,3611.7,3609.1,176.7,167,8182,8183.6,8187.9,3250.9,3252.8,3254.2,4121.7,4122,4121.8,14957.8,14957.5,14951.4,167,167,39.240002,26.27
116018104,4945413.5,6962.6,6961.8,6963.4,5429.1,5427.6,5432.4,13848.8,13847.7,13848.9,6170.8,6169.4,6172.6,406.2,407.3,9069.5,8678,5433.8,5436.1,5435.3,57625.4,57652.2,57651.7,7867.1,7867.6,7865.9,4651.6,4649.9,4657.6,1898,1890.7,1916.6,859.9,2296.6,2291.4,2292.3,1217.2,1216.1,1217.8,3345,3341.5,3342.4,6724.8,6723.5,6727.6,3613.8,3611.4,176.7,167,8183.9,8187.7,8191.7,3252.5,3253.2,3256.1,4121.4,4121.1,4122.5,14950,14954.9,14961,167,167,40.459999,26.27
119697824,4981123.5,6966.2,6964.2,6966.9,5430.5,5429.4,5433.6,13850.6,13850.8,13850,6171.6,6170.3,6173.8,406.2,407.3,9071.6,8677.8,5434.7,5436.9,5435.3,57650.2,57635.2,57643.9,7867.7,7866.8,7867,4651.7,4649.5,4656.9,1897.9,1890.9,1916.5,859.8,2296.7,2291.8,2292.7,1217.1,1216.1,1217.7,3344.3,3340.6,3341.4,6722.2,6722.5,6725.7,3614.7,3612.6,176.7,167,8184.9,8189.1,8191.8,3250.7,3252,3253.7,4120.7,4120.4,4122.8,14962.5,14966.5,14969.6,167,167,40.709999,26.290001
104700776,4855796.5,6972.5,6971.4,6973.2,5435.6,5434.4,5441.4,13855.9,13854.2,13856,6174.2,6173.5,6177.1,406.2,407.3,9069.9,8677.6,5437.3,5439.8,5438.1,57616.1,57609.2,57640.1,7883.4,7882.7,7881.4,4656.1,4654.3,4661.8,1898,1890.7,1916.5,859.9,2296.5,2291.2,2291.9,1217.3,1216.2,1218,3346.6,3343.4,3343.9,6727.9,6728.4,6731.2,3613.5,3610.7,176.7,167,8183.6,8192.2,8191.7,3251.2,3252.8,3254.4,4121.9,4120.9,4122.9,14972.7,14956.9,14964.2,167,167,40.330002,26.27
117936136,4828182.5,6973.9,6972.6,6974.6,5436.9,5435.9,5440,13857.4,13856,13858.1,6174.3,6173.5,6177.1,406.2,407.3,9070.1,8678.2,5437.3,5439.8,5438,57615.9,57642.2,57626.7,7887.1,7885.1,7883.6,4657.3,4655.3,4663.3,1897.7,1890.6,1916.3,859.9,2296,2290.8,2291.8,1217.2,1216.1,1217.8,3345.7,3342.7,3343.6,6727.4,6727.3,6730.5,3611.7,3609,176.7,167,8180.8,8185.2,8191.7,3252.1,3252.8,3254,4122.7,4118.7,4121.5,14971.4,14968.5,14972.1,167,167,38.52,26.290001
106415008,4882669,6971.8,6971.3,6972.4,5432.6,5433.7,5440.3,13859.8,13858.8,13859.8,6173.2,6171.7,6175.3,406.2,407.3,9070.2,8677.3,5434.1,5436,5434.4,57615.3,57605,57610.8,7868.8,7866.3,7865.4,4650.1,4648.6,4655.4,1897.8,1890.6,1916.4,859.9,2297.1,2291.6,2292.3,1216.7,1215.6,1217.4,3342.1,3338.6,3339,6717,6715.2,6718.4,3613,3611,176.7,167,8185.1,8184.7,8189.2,3251,3251.5,3253.4,4121.8,4121.7,4124,14977.4,14974.7,14982.8,167,167,37.349998,26.27
115536888,4825116,6968.9,6968.3,6970,5431.9,5432.2,5434.9,13856.1,13854.5,13854.3,6171.1,6169.2,6172.3,406.2,407.3,9070.1,8677.4,5433.5,5435.3,5434.3,57610.5,57609.5,57624.1,7872,7868.9,7869.2,4651.7,4649.6,4656.8,1897.9,1890.8,1916.4,859.9,2296.2,2291.1,2291.8,1216.7,1215.7,1217.4,3342.7,3339,3339.5,6716.3,6714.9,6718.7,3613,3611,176.7,167,8184.3,8188,8190.9,3251.6,3252.7,3254.7,4119,4119.2,4122.9,14970.1,14960.5,14962.9,167,167,37.73,26.27
142257600,4704319,6968.5,6966.7,6968.8,5428,5426.5,5433,13852.4,13850.6,13851,6169.1,6167.9,6172.3,406.2,407.3,9071,8678.1,5434.5,5436.6,5435,57627.4,57635.9,57623.5,7871.2,7869.4,7868,4650.9,4648.6,4656.3,1897.9,1890.8,1916.5,859.9,2295.9,2290.8,2292,1216.7,1215.7,1217.4,3343.1,3339.5,3339.8,6716.8,6714.9,6717.9,3613.3,3611.6,176.7,167,8183.1,8187.1,8190.2,3249.3,3251.2,3252.6,4120.6,4120,4123,14956.9,14964.1,14962.9,167,167,38.5,26.290001
136546032,4995757.5,6967.5,6966.5,6967.9,5431,5431.2,5435.1,13852.5,13850,13851.6,6169.2,6167.7,6171.2,406.2,407.3,9070.5,8677.9,5431.9,5434.7,5432.8,57598.4,57620.2,57628.6,7865.4,7864.7,7865.6,4650.4,4648.6,4656.4,1897.9,1890.7,1916.4,859.9,2296.3,2291.1,2292.1,1216.6,1215.6,1217.2,3342.3,3338.7,3339,6714,6713.3,6716,3613,3610.2,176.7,167,8184.5,8190.5,8190.1,3250.3,3251.8,3253.4,4119.5,4119.8,4120.8,14956.9,14954.8,14960.6,167,167,38.68,26.290001
134846304,4863063,6951.5,6950.7,6952.2,5423.4,5423,5427.2,13839.6,13837.9,13840.6,6163.6,6161.9,6166.2,406.3,407.3,9070.4,8677.7,5432.2,5434.5,5433,57589.2,57604.4,57609.1,7859.3,7856.5,7853.1,4646.1,4643.9,4651.5,1898,1890.8,1916.3,860,2296.1,2290.9,2292,1216.2,1215.2,1216.9,3339.5,3335.4,3336.1,6706.7,6705.1,6709.1,3612.8,3610.8,176.7,167,8178.8,8182.2,8184,3248.8,3249.9,3251.5,4119,4117.5,4119,14953.6,14946.9,14944.9,167,167,38.759998,26.27
131511520,4859427,6945.9,6944.4,6946.2,5420.8,5419.9,5426.6,13835.6,13835.1,13834.6,6160.3,6158.4,6162,406.3,407.3,9071,8678.1,5429.1,5432,5430,57588.2,57603.9,57604.3,7845.9,7843.2,7842.3,4641.4,4640.1,4647.5,1898.1,1890.9,1916.6,860,2296,2290.4,2291.4,1216.2,1215.1,1216.9,3339.2,3335.5,3336.5,6704,6704.2,6707.2,3614.4,3611.6,176.7,167,8178.7,8183.8,8189.3,3246,3247.4,3249.3,4116.4,4115.8,4118.4,14956.6,14955.8,14947.9,167,167,40.560001,26.299999
126615424,4872664,6937.8,6936,6938.1,5416.1,5415.5,5421.8,13827.1,13826.5,13826.3,6156.4,6154.8,6158.3,406.2,407.3,9070.7,8678.2,5429.6,5432.2,5430.4,57595.8,57596.6,57585.6,7847.1,7845.7,7846.3,4643.3,4641.7,4649.1,1898.1,1890.9,1916.6,860.1,2295.8,2290.7,2291.2,1216.3,1215.2,1216.9,3339.5,3335.9,3336.8,6704.1,6703.2,6706.4,3613.7,3611.7,176.7,167,8186.3,8186.7,8189.4,3249.2,3250.4,3252.5,4117.1,4118.3,4118.5,14950,14938.9,14946,167,167,42.880001,26.290001
125825616,4916980,6937.9,6936.5,6937.7,5414.8,5414.8,5418.7,13822.3,13819.8,13822.8,6154.5,6153.8,6157.1,406.3,407.3,9071.3,8678.4,5430.1,5432.3,5430.4,57589,57587.1,57600.7,7850.9,7849.4,7849.6,4644.7,4642.6,4650.6,1898.2,1891,1916.6,860,2295.3,2290,2290.9,1216.2,1215.3,1217,3340,3336.3,3336.8,6704.3,6703.2,6708.1,3613.5,3611.7,176.7,167,8185.6,8187.9,8190.1,3247.7,3249.1,3252.2,4117,4117,4118.6,14944.1,14946.5,14948.6,167,167,43.959999,26.290001
150183120,4764747.5,6934,6932.4,6933.9,5415.3,5412.1,5417.3,13821.7,13821.1,13821.9,6153.6,6152.3,6155.9,406.3,407.3,9071.1,8678.5,5428.9,5431.6,5429.3,57594,57599.7,57611,7830.1,7829.1,7829,4644.5,4642.5,4649.4,1898.2,1891,1916.7,860,2295.1,2289.9,2290.6,1216.1,1215.2,1216.9,3339.4,3336,3336.5,6703.5,6703.1,6706.6,3613.6,3611.8,176.7,167,8178.1,8181.6,8185.3,3247.1,3249.3,3250.8,4116.6,4117.5,4117.3,14950.7,14949.2,14950.3,167,167,44.509998,26.290001
133981504,4949681.5,6931.7,6930.7,6931.8,5409.8,5408.6,5412.5,13818.7,13817.9,13818.9,6151.5,6150.1,6153.8,406.3,407.3,9070.9,8678,5429.4,5431.5,5429.6,57594.3,57581.1,57592.9,7851.9,7850.6,7849.9,4645.1,4643.3,4650.3,1898.3,1890.8,1916.7,859.9,2295.1,2290.1,2290.7,1216.2,1215.2,1217,3339.8,3336.2,3336.9,6703.8,6702.1,6705.5,3613.1,3611.2,176.7,167,8182.4,8186.7,8186.2,3247.9,3249,3251.4,4116.1,4115.9,4116.8,14956.7,14947.4,14944.9,167,167,44.790001,26.32
129588672,4866380.5,6930,6928.5,6930.5,5414.1,5412.8,5417.3,13820.5,13819.7,13820.1,6149.6,6148.6,6152.5,406.2,407.3,9071.4,8678.1,5429.6,5431.4,5430.1,57595,57585.1,57608.2,7855,7853,7852.5,4645.7,4643.2,4651,1898.2,1891,1916.8,860,2295.2,2290.1,2290.9,1216.2,1215.2,1217,3340.1,3336.4,3336.7,6703.8,6702.6,6705.9,3611.8,3609.7,176.7,167,8184.4,8186.1,8191.7,3247.6,3249.5,3250.5,4114.5,4114.7,4116.8,14944.5,14950.7,14951.3,167,167,44.860001,26.290001
132224968,4917806.5,6929.4,6928.4,6930.3,5412.4,5415.2,5417.7,13816.6,13817,13816,6149,6147.7,6150.9,406.3,407.3,9071.2,8678.3,5429.1,5431.3,5429.8,57580.1,57590.7,57611.4,7853.2,7852.7,7851.2,4645.2,4642.6,4650.3,1898.1,1891.1,1916.7,860,2294.9,2290,2290.8,1216.2,1215.2,1216.9,3340,3336.1,3336.7,6703,6702.9,6706.1,3614.4,3612.3,176.7,167,8190.3,8187.7,8189.1,3248.7,3251.2,3251.7,4116,4117.3,4118,14932.3,14942.2,14935.1,167,167,44.889999,26.290001
147086576,4861567.5,6930.1,6929.1,6931,5413.4,5412.8,5418.7,13818.5,13818.8,13819.6,6147.8,6146.1,6150.3,406.3,407.4,9071.1,8678.5,5428.8,5430.7,5429.3,57586.4,57569.8,57598.8,7850.4,7849.5,7848.6,4643.9,4642,4649.4,1898.2,1891.1,1916.8,860.1,2294.8,2289.5,2290.6,1216.1,1215.1,1216.8,3338.9,3335.6,3335.9,6701.4,6701.7,6705.6,3614.1,3611.3,176.8,167,8184.7,8189.4,8192.4,3248.1,3251,3252.9,4114.7,4115.2,4117.5,14951.3,14942.5,14950.6,167,167,44.849998,26.299999
142119360,4838846,6929.4,6928.3,6930,5412.8,5410.9,5415.4,13817.4,13815.7,13816.2,6146.7,6144.9,6148.1,406.3,407.3,9071.3,8679.2,5427.6,5429.9,5428.6,57572.8,57577.6,57583.9,7848.9,7846.6,7845.7,4643.4,4641.5,4648.5,1898.3,1891.2,1916.7,860,2294.4,2289.4,2290.4,1216,1215,1216.7,3338.9,3335.3,3335.9,6700.9,6699.7,6702.9,3612.9,3610.5,176.8,167,8181.3,8185.3,8185.7,3247.7,3248.9,3251.7,4116.1,4113.9,4116.8,14936.8,14919.4,14930.2,167,167,44.849998,26.299999
140413648,4948132,6928.9,6927.2,6929.5,5411.6,5411.1,5415.4,13817.8,13815.6,13817.8,6145.2,6144.2,6146.5,406.3,407.3,9071.1,8678.7,5427.9,5430.2,5428.1,57570.6,57576.1,57587.2,7848.2,7848.2,7847.4,4644.1,4641.6,4649.1,1898.2,1891.1,1916.7,860,2294.4,2289.2,2290.3,1216,1214.9,1216.7,3339,3335.3,3335.8,6699.3,6699.1,6702.1,3613.5,3611.1,176.8,167,8175.9,8182.6,8185,3248.7,3248.9,3251.7,4115,4116.2,4120.6,14921.7,14920.1,14927.2,167,167,44.900002,26.27
140988976,4834247.5,6925.3,6924.1,6926.3,5410.1,5409.1,5413.2,13815,13813.8,13812.2,6142.8,6141.4,6145.2,406.3,407.4,9071.6,8678.5,5427.7,5429.6,5428.5,57561.6,57560.6,57562.9,7851,7849.5,7849,4643.8,4641.3,4648.5,1898.2,1891,1916.7,860,2294.2,2289.3,2289.7,1215.9,1215,1216.6,3339.2,3335.3,3335.7,6699.1,6698.1,6701.1,3614.2,3611.7,176.8,167,8178.2,8184.7,8183,3248.9,3249.8,3251.9,4117.3,4117.3,4120.4,14935.2,14943.7,14939,167,167,44.91,26.27
128648176,4856119.5,6923.9,6922.7,6924.2,5409,5409,5412.8,13813.3,13810.1,13812,6141.9,6140,6144.2,406.3,407.4,9071,8679,5427.1,5429.1,5427.3,57547.8,57557.3,57565,7850.2,7848.1,7847.6,4643.4,4641.6,4649.5,1898.3,1891.1,1916.7,860,2294.3,2289.1,2289.8,1216,1215,1216.7,3338.7,3335.4,3335.8,6697.5,6696.7,6700.3,3614.5,3612.3,176.7,167,8184,8189.9,8192.4,3248.8,3250.3,3252.2,4115,4115.9,4118.2,14949.6,14939.9,14955.7,167,167,45,26.26
138781328,4670775.5,6926.1,6924.8,6926.7,5408.8,5412.4,5415.1,13812.4,13812,13814,6141.3,6139.5,6143.7,406.3,407.3,9071.5,8678.2,5427.3,5429.1,5427.8,57546.3,57550.6,57559.4,7849.9,7849,7847.9,4643.5,4641.9,4649,1898.3,1891.2,1916.7,860,2294,2288.9,2289.8,1216,1215,1216.6,3338.6,3334.9,3335.6,6697.2,6696.7,6699.9,3615.1,3612.9,176.8,167,8181.6,8182.9,8182.4,3249.2,3250.3,3253.3,4116.2,4116.9,4119.5,14947.3,14943.2,14934.2,167,167,44.880001,26.290001
142952912,4804153,6925,6924,6925.9,5410.7,5410.5,5413.7,13811.3,13810,13812,6140,6138.9,6142.5,406.3,407.3,9071.5,8679,5426.7,5429.1,5427.6,57565.1,57555.9,57562.8,7851.1,7849.4,7848.4,4643.4,4641.6,4649.1,1898.2,1891.1,1916.7,860,2294.3,2289.1,2289.9,1215.9,1214.9,1216.6,3338.6,3334.9,3335.3,6696.1,6695.6,6699.1,3611.8,3610.1,176.8,167,8181,8186.8,8191.7,3249.3,3251.4,3253.1,4115.1,4116.1,4116.5,14951.5,14951.8,14954.5,167,167,44.799999,26.290001
152572576,4815979,6923.2,6921.9,6923.8,5409.3,5408,5413,13809.4,13807.9,13809.1,6138.7,6137,6140.5,406.3,407.3,9071.3,8678.9,5425.9,5428.1,5426.6,57530.8,57537.1,57551,7849.8,7847.9,7847.1,4642.6,4641,4648.3,1898.2,1891.1,1916.8,860.1,2293.7,2288.8,2289.6,1215.8,1214.8,1216.5,3338.2,3334.6,3335.4,6696.9,6695.9,6698.3,3612.6,3613,176.8,167,8176.1,8182,8184.1,3249.9,3251.4,3253.4,4114.6,4114.6,4115.8,14946.9,14944.8,14949.1,167,167,44.720001,26.290001
147383040,4848874,6921.4,6920.2,6922.1,5408.4,5411,5411.9,13805.9,13805.9,13805.2,6136.9,6135.4,6138.8,406.3,407.4,9071.8,8679.2,5425.8,5427.7,5426.4,57550.9,57548.5,57544.4,7847.9,7845.4,7843.7,4641.8,4640.2,4647.8,1898.2,1891,1916.7,860,2293.9,2288.4,2289.4,1215.8,1214.8,1216.4,3337.4,3334,3334.5,6694,6693.3,6696.9,3615,3612.7,176.7,167,8177,8183.3,8184.8,3248.3,3250.4,3252.3,4115.3,4114.4,4117.7,14945.4,14940.2,14954.2,167,167,44.82,26.26
167419376,4855958.5,6922.1,6920.5,6922.1,5404.7,5404.6,5410.4,13808.3,13806.5,13806.4,6136.1,6134.2,6138.2,406.3,407.3,9071.8,8678.9,5425.8,5428.8,5427.1,57538.6,57534.7,57544.2,7848.5,7847.8,7846.7,4643,4641,4648.2,1898.2,1891,1916.8,860,2293.6,2288.6,2289.2,1215.8,1214.8,1216.5,3338.2,3334.4,3335.1,6694.5,6693.9,6696.9,3614.8,3612.8,176.8,167,8176.2,8178.7,8180,3248,3250.1,3252.8,4116.4,4114.4,4117.8,14946.7,14943.3,14945.3,167,167,44.970001,26.27
178071008,4929867,6921.7,6921.1,6922.3,5409.8,5407.4,5411.3,13807.7,13805.2,13806.2,6134.8,6133.3,6137.3,406.3,407.3,9071.2,8679,5426.6,5428.5,5427.2,57551.7,57556.8,57553.7,7847.2,7847.3,7847,4642.3,4640.8,4647.7,1898.2,1891.1,1916.7,860,2293.5,2288.5,2289.3,1215.7,1214.7,1216.4,3337.9,3334,3334.8,6694.9,6693.5,6697.1,3614.4,3612.4,176.8,167,8180,8181.4,8184,3248.9,3249.5,3253,4114.3,4114.4,4116.9,14948.2,14936.7,14948.3,167,167,44.860001,26.26
166846352,4937191,6920.8,6919.2,6921.7,5410.6,5406.9,5411.2,13807.1,13803.8,13805.3,6134.3,6132.8,6136.2,406.3,407.4,9071.9,8679.2,5425.8,5427.8,5426.1,57531.3,57540.8,57544.9,7848.5,7846.4,7846.1,4642.6,4640.6,4647.8,1898.3,1891.1,1916.7,860,2293.4,2288.1,2289,1215.7,1214.7,1216.4,3337.7,3334.3,3335.1,6692.9,6692.7,6696.4,3615.3,3613,176.8,167,8180.1,8185.5,8188.3,3247.7,3250.5,3252.7,4115.3,4113.7,4116.7,14947.1,14941.8,14941.6,167,167,44.759998,26.299999
166656192,4774781.5,6921.8,6920.6,6921.9,5411.2,5410.3,5414.9,13802.8,13802.4,13803.6,6133.1,6132.2,6136.1,406.3,407.4,9071.3,8679.1,5426.3,5428.3,5426.8,57533,57530,57547,7847.6,7846.2,7845.8,4642.5,4640.7,4647.8,1898.2,1891.1,1916.6,860,2292.7,2287.7,2288.6,1215.7,1214.6,1216.4,3337.8,3334.2,3334.6,6692.9,6692.9,6696.2,3614.6,3613.4,176.8,167,8176.5,8181.5,8187.3,3249,3250,3252.8,4115.9,4115,4118.6,14941.3,14947.4,14943.7,167,167,44.75,26.27
179436592,4955006,6920,6918.6,6920.3,5411.2,5408.3,5411.6,13802.1,13801.7,13802.8,6132,6130.5,6134.7,406.3,407.3,9071.6,8678.6,5425.2,5427.3,5425.7,57524.3,57531.5,57538.1,7845.1,7844.3,7844.7,4642.2,4639.8,4647.4,1898.2,1891,1916.7,860,2293,2287.9,2288.9,1215.6,1214.6,1216.4,3337.4,3333.5,3334.2,6692.6,6691.3,6695.3,3614,3610.9,176.7,167,8174.2,8180.7,8186.9,3248.7,3250.2,3252.7,4113.5,4113.5,4116.5,14936.9,14942.3,14945.5,167,167,44.639999,26.290001
164131104,4845058,6920.1,6918.8,6921,5408.8,5408.2,5412.4,13801.9,13800.1,13801.7,6131.6,6130.3,6133.5,406.3,407.3,9071.4,8678.2,5424.9,5426.8,5425.6,57548,57551.9,57552,7844.5,7842.5,7842,4641,4639.4,4646.3,1898.1,1891,1916.7,860,2293.4,2288.2,2289,1215.6,1214.5,1216.2,3337.4,3333.4,3334.1,6691,6691,6694,3613.3,3611.3,176.8,167,8176.5,8177.8,8182.7,3249.3,3250.8,3252.6,4113,4112.2,4115,14938.5,14945.8,14935.2,167,167,44.689999,26.299999
169800656,4877336,6919.9,6919.3,6920.8,5409.9,5407.9,5419.8,13801.3,13800.8,13798.2,6130.8,6128.9,6133.1,406.3,407.3,9071.2,8678.6,5424.6,5426.8,5425.4,57528.1,57540.6,57541.4,7844.4,7842.5,7841.8,4640,4638.3,4645.6,1898.2,1891,1916.8,860,2292.5,2287.3,2288.4,1215.6,1214.4,1216.2,3337,3333.2,3334.2,6688.5,6689.7,6692.1,3614.6,3611.9,176.8,167,8181.2,8182.9,8187.4,3249.3,3249.7,3251.6,4113.4,4113.7,4115.9,14933,14935.8,14946.2,167,167,44.669998,26.27
175453888,4858418.5,6919.9,6918.7,6920.5,5411.6,5410.4,5415.7,13801.2,13800.8,13802.6,6129.3,6128.4,6132.4,406.3,407.3,9071.8,8678,5424.5,5425.9,5424.6,57535.7,57533.6,57541.3,7841.9,7841.8,7840.6,4640.1,4637.8,4645.4,1898.3,1891.1,1916.7,860,2292.4,2287.1,2288.2,1215.4,1214.5,1216.1,3336.7,3333,3333.7,6689.1,6688.7,6691.7,3613.8,3612,176.7,167,8175.8,8178.6,8178.7,3247.5,3249.3,3251.3,4112.7,4111.1,4113.7,14934,14934.5,14930.2,167,167,44.66,26.290001
194017664,4915121,6919.9,6918.9,6920.7,5410.4,5409.5,5413.8,13801.9,13800.5,13800.7,6129,6127.8,6131.7,406.3,407.3,9071.4,8678.7,5424.1,5426.4,5424.9,57523.7,57526.4,57544.8,7844,7842.4,7841.4,4640,4638.3,4645.2,1898.2,1891.1,1916.8,860,2292.5,2287.5,2288.4,1215.6,1214.4,1216.2,3336.4,3333.1,3333.6,6689.5,6688,6692.1,3613.1,3610.3,176.8,167,8172.8,8178.2,8180.5,3248.1,3249.5,3251.7,4113.6,4114.8,4115.7,14937.3,14937.1,14935.7,167,167,44.59,26.24
181440224,4867879,6918.9,6917,6919.6,5406.4,5405.2,5410.1,13800.8,13800.4,13799.3,6127.6,6126.6,6130,406.3,407.3,9071.3,8678.7,5423.9,5426.9,5424.8,57515,57515,57534.8,7844.3,7843.5,7843,4640,4637.9,4645.5,1898.3,1891.1,1916.8,860.1,2291.9,2286.8,2287.6,1215.4,1214.4,1216.2,3336.3,3332.9,3333.5,6689.7,6689.7,6693.4,3610.1,3604,176.8,167,8177,8179.2,8182,3248.8,3250.6,3252.5,4113.8,4114.2,4116.1,14952.6,14956,14957.2,167,167,44.509998,26.290001
175664656,4806245,6918.9,6917.5,6919.2,5411.2,5410.4,5415.7,13797.8,13795.4,13797.2,6127.5,6126.3,6130,406.2,407.4,9071.1,8678.7,5424,5426.1,5425.3,57540.1,57538.1,57546.9,7846.6,7845,7844.6,4640.1,4638.4,4646,1898.2,1891,1916.7,860,2292,2287.1,2287.7,1215.5,1214.4,1216.3,3336.9,3333.3,3333.6,6689.7,6689.7,6693,3614.2,3611.9,176.8,167,8173,8179,8182.2,3248.8,3249.3,3251,4112.8,4112.4,4115.3,14935.1,14927.2,14937.8,167,167,44.459999,26.27
179657024,5081070,6918.7,6917.4,6919.6,5410.7,5410.5,5415.5,13797.4,13797.2,13798.4,6127.4,6125.9,6128.9,406.3,407.3,9071,8678.1,5423.9,5426,5424.2,57516.9,57531.1,57532.3,7843.7,7843.6,7843.2,4639.6,4638,4645.4,1898.3,1891.1,1916.8,860,2292,2286.9,2287.9,1215.3,1214.4,1216,3336.1,3332.6,3333,6687.8,6687.4,6691,3615,3609.9,176.8,167,8178.5,8181.5,8180,3248.2,3250.6,3253.4,4112.9,4112,4116,14930,14932,14935,167,167,44.380001,26.26
185232192,4869540.5,6916.8,6916.1,6917.6,5411.7,5409,5413.6,13794.4,13793.5,13795.9,6125.5,6123.8,6127.6,406.3,407.3,9071.6,8678.2,5422.9,5425,5423.3,57517.1,57526.2,57520.2,7841.8,7841.2,7838.9,4638.8,4637.3,4644.4,1898.2,1891.1,1916.8,860,2291.7,2286.8,2287.7,1215.4,1214.3,1216.1,3336.2,3332.4,3333,6688,6687.3,6690.3,3612.9,3610.8,176.8,167,8178.1,8179.6,8185.1,3247.7,3249.4,3250.5,4112.3,4110.3,4114.3,14924.9,14905.1,14910.2,167,167,44.369999,26.290001
